Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	1.03	1.06	0.34	2.42
TimeCrypt Baseline	1.05	1.14	0.36	2.56
TimeCrypt Baseline	1.02	1.15	0.36	2.52
TimeCrypt Baseline	1.05	1.16	0.36	2.58
TimeCrypt Baseline	1.01	1.14	0.38	2.53
TimeCrypt Baseline	1.10	1.12	0.35	2.57
TimeCrypt Baseline	1.03	1.27	0.38	2.68
TimeCrypt Baseline	1.04	1.15	0.39	2.58
TimeCrypt Baseline	1.06	1.17	0.42	2.65
TimeCrypt Baseline	1.07	1.12	0.37	2.56
TimeCrypt Baseline	1.04	1.19	0.38	2.61
TimeCrypt Baseline	1.02	1.25	0.45	2.72
TimeCrypt Baseline	1.08	1.18	0.35	2.60
TimeCrypt Baseline	1.04	1.22	0.38	2.64
TimeCrypt Baseline	1.07	1.24	0.39	2.70
TimeCrypt Baseline	1.11	1.20	0.39	2.69
TimeCrypt Baseline	1.07	1.28	0.34	2.70
TimeCrypt Baseline	1.17	7.05	2.98	11.19
TimeCrypt Baseline	1.14	1.29	0.38	2.81
TimeCrypt Baseline	1.08	13.35	0.39	14.82
TimeCrypt Baseline	1.08	1.26	0.39	2.72
TimeCrypt Baseline	1.11	1.15	0.37	2.63
TimeCrypt Baseline	11.98	1.38	0.41	13.77
TimeCrypt Baseline	1.09	1.34	0.41	2.85
TimeCrypt Baseline	5.76	1.35	0.43	7.54
TimeCrypt Baseline	1.11	1.36	0.43	2.90
TimeCrypt Baseline	1.12	9.34	0.43	10.89
TimeCrypt Baseline	1.16	1.39	0.48	3.04
TimeCrypt Baseline	1.15	10.82	0.38	12.35
TimeCrypt Baseline	1.16	1.25	0.40	2.81
TimeCrypt Baseline	1.13	1.27	0.38	2.78
TimeCrypt Baseline	9.18	1.30	0.38	10.87
TimeCrypt Baseline	1.12	1.32	0.37	2.80
TimeCrypt Baseline	1.08	9.34	0.39	10.81
TimeCrypt Baseline	1.46	1.34	0.40	3.19
TimeCrypt Baseline	3.89	1.31	0.39	5.58
TimeCrypt Baseline	9.25	1.33	0.40	10.98
TimeCrypt Baseline	1.15	1.35	0.39	2.89
TimeCrypt Baseline	1.10	1.37	0.38	2.85
TimeCrypt Baseline	4.00	1.44	0.41	5.85
TimeCrypt Baseline	1.16	1.45	0.41	3.03
TimeCrypt Baseline	1.10	9.41	0.41	10.92
TimeCrypt Baseline	3.81	1.46	0.34	5.61
TimeCrypt Baseline	1.10	1.48	17.07	19.65
TimeCrypt Baseline	3.59	1.43	0.38	5.40
TimeCrypt Baseline	1.12	1.39	0.38	2.89
TimeCrypt Baseline	1.18	1.40	8.42	10.99
TimeCrypt Baseline	3.20	1.44	0.38	5.02
TimeCrypt Baseline	1.11	1.39	0.38	2.88
TimeCrypt Baseline	1.10	1.39	12.42	14.91
TimeCrypt Baseline	1.33	1.43	0.30	3.06
TimeCrypt Baseline	1.11	1.39	0.31	2.81
TimeCrypt Baseline	9.14	1.40	0.31	10.85
TimeCrypt Baseline	1.50	1.42	0.30	3.23
TimeCrypt Baseline	2.33	1.54	0.34	4.21
TimeCrypt Baseline	1.12	1.52	0.31	2.96
TimeCrypt Baseline	1.11	8.43	0.35	9.89
TimeCrypt Baseline	1.18	1.43	0.31	2.91
TimeCrypt Baseline	1.14	1.45	0.31	2.90
TimeCrypt Baseline	1.10	13.48	0.44	15.02
TimeCrypt Baseline	1.17	1.47	0.30	2.93
TimeCrypt Baseline	1.11	1.45	0.31	2.87
TimeCrypt Baseline	3.01	1.52	0.31	4.84
TimeCrypt Baseline	7.87	1.47	0.31	9.66
TimeCrypt Baseline	1.19	1.47	0.31	2.96
TimeCrypt Baseline	9.55	1.49	0.32	11.35
TimeCrypt Baseline	6.23	1.51	0.31	8.06
TimeCrypt Baseline	1.15	1.49	0.31	2.96
TimeCrypt Baseline	1.12	1.50	0.32	2.94
TimeCrypt Baseline	1.18	1.52	0.29	3.00
TimeCrypt Baseline	1.15	1.55	0.28	2.97
TimeCrypt Baseline	9.62	1.53	0.29	11.44
TimeCrypt Baseline	1.21	1.53	0.29	3.03
TimeCrypt Baseline	1.13	1.54	0.29	2.95
TimeCrypt Baseline	1.13	1.52	8.31	10.96
TimeCrypt Baseline	1.17	1.55	0.29	3.01
TimeCrypt Baseline	1.13	1.53	0.29	2.95
TimeCrypt Baseline	9.56	1.61	0.29	11.47
TimeCrypt Baseline	1.14	1.57	0.29	3.00
TimeCrypt Baseline	1.14	13.95	0.32	15.40
TimeCrypt Baseline	1.31	1.53	0.29	3.13
TimeCrypt Baseline	7.49	1.52	0.29	9.31
TimeCrypt Baseline	1.30	1.53	0.30	3.13
TimeCrypt Baseline	1.18	1.54	0.30	3.02
TimeCrypt Baseline	1.16	9.21	0.33	10.71
TimeCrypt Baseline	1.29	1.58	0.31	3.18
TimeCrypt Baseline	1.16	1.57	0.30	3.03
TimeCrypt Baseline	1.17	1.55	0.42	3.14
TimeCrypt Baseline	1.17	24.85	0.31	26.34
TimeCrypt Baseline	9.07	1.52	0.31	10.90
TimeCrypt Baseline	1.20	8.66	0.31	10.17
TimeCrypt Baseline	4.76	1.57	0.31	6.63
TimeCrypt Baseline	1.18	1.42	0.32	2.93
TimeCrypt Baseline	1.19	1.43	0.31	2.92
TimeCrypt Baseline	9.82	1.43	0.33	11.58
TimeCrypt Baseline	1.23	1.35	0.31	2.89
TimeCrypt Baseline	1.17	9.30	0.31	10.78
TimeCrypt Baseline	1.81	1.33	0.32	3.46
TimeCrypt Baseline	2.92	1.39	0.33	4.64
TimeCrypt Baseline	6.45	1.31	0.31	8.08
TimeCrypt Baseline	7.98	1.34	0.33	9.64
TimeCrypt Baseline	1.20	1.30	0.31	2.81
TimeCrypt Baseline	1.19	1.30	0.32	2.81
TimeCrypt Baseline	13.42	1.28	0.54	15.23
TimeCrypt Baseline	3.46	1.35	0.33	5.14
TimeCrypt Baseline	1.24	1.34	0.33	2.91
TimeCrypt Baseline	1.24	1.32	0.32	2.88
TimeCrypt Baseline	1.23	1.34	0.34	2.91
TimeCrypt Baseline	1.20	1.35	0.33	2.88
TimeCrypt Baseline	1.20	1.34	0.32	2.87
TimeCrypt Baseline	1.33	1.34	0.33	3.00
TimeCrypt Baseline	5.24	1.50	0.35	7.09
